Title,URL,imdb_id,Directors,overview,Poster_url,cast_1,cast_2,cast_3,cast_4,cast_5,cast_6,cast_7,cast_8,,,
Devasuram,https://www.imdb.com/title/tt0291855/,tt0291855,I.V. Sasi,"Neelakandan squanders away the inheritance left by his father. However, his life turns upside down when his mother reveals a terrible secret on her deathbed that changes the course of his life.",https://m.media-amazon.com/images/M/MV5BNzY5ZTA3YWItMjYxZi00ZWFlLWEwN2ItZDBhMTFjNjYzNGM4XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_.jpg,Mohanlal,Napolean,Revathi,Innocent,Vareed,Thekkethala,,,,,
Kilukkam,https://www.imdb.com/title/tt0255306/,tt0255306,Priyadarshan,"A tourist guide in Ooty shelters a mentally unstable woman in return for the reward offered by her relatives. Later, he comes to know that she is in danger from her relatives.",https://m.media-amazon.com/images/M/MV5BZGU0NGVhZDctMDY5MC00MGQyLWIyMGMtZjFmMmIzMGYxY2Y2XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_.jpg,Mohanlal,Jagathy,Sreekumar,Revathi,Kollam,Thulasi,,,,,
Godfather,https://www.imdb.com/title/tt0353496/,tt0353496,"Siddique, Lal","Since Anjooran hates women, his sons remain unmarried. However, everything changes when his youngest son, Ramabhadran, falls in love with Malu, whose grandmother is their family's biggest enemy.",https://m.media-amazon.com/images/M/MV5BYjI2YmJhMTUtYjEzYS00N2VmLTlmMzMtZGQ1MjZhNmY0ODdiXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_.jpg,N.N.,Pillai,Mukesh,Philomina,Thilakan,,,,,,
Vanaprastham,https://www.imdb.com/title/tt0202055/,tt0202055,Shaji N. Karun,An illicit relationship between a Kathakali dancer and a young woman from an upper caste family results in an illegitimate child. He faces hardships when she refuses to let him see their child.,https://m.media-amazon.com/images/M/MV5BYzI1Y2ZhZTEtNzYwMC00YTc0LWE3NWYtMmJlN2VmY2RiYTlkXkEyXkFqcGdeQXVyNTI0NzU5ODc@._V1_.jpg,Mohanlal,Suhasini,Mattanoor,Shankara,Marar,Kalamandalam,Gopi,,,,
Summer in Bethlehem,https://www.imdb.com/title/tt0274114/,tt0274114,Sibi Malayil,"Ravishankar pretends to own the farmhouse of his friend Dennis when his relative, Col. Menon, pays a visit along with his granddaughters. Dennis and Ravishankar try to find Ravishankar's secret admirer among the girls.",https://m.media-amazon.com/images/M/MV5BZWM4MTgzODMtYmUxNS00N2YyLTlkYjctZWFhNzk4ODRkNzVmXkEyXkFqcGdeQXVyMTY1MzAyNjU4._V1_.jpg,Mohanlal,Suresh,Gopi,Jayaram,Manju,Warrier,,,,,
In Harihar Nagar,https://www.imdb.com/title/tt0278501/,tt0278501,"Siddique, Lal","Four young men are enamored by Maya, their next-door neighbor. However, she is in town to investigate the mysterious circumstances surrounding the death of her brother.",https://m.media-amazon.com/images/M/MV5BNDA5NWZhODctNTE5ZS00NGFkLWFlMDUtYzM2MjY0MDJhZjIzXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg,Mukesh,Siddique,Jagadish,Ashokan,,,,,,,
Ponthan Mada,https://www.imdb.com/title/tt0248317/,tt0248317,T.V. Chandran,"Set in 1940s, the low-caste Ponthan Mada bonds with his colonial landlord Sheema Thampuran, who was expelled to British India from England during his youth for supporting the Irish Republican Army.",https://m.media-amazon.com/images/M/MV5BMzZlY2FiMzktOGI2Ny00MWRmLTk1NzktMjM5ZTgyZTU5ZDYwXkEyXkFqcGdeQXVyODM1ODM4OTc@._V1_.jpg,Janardanan,Salu,Koottanad,Lakshmi,Krishnamurthy,Mahesh,,,,,
Thanmathra,https://www.imdb.com/title/tt0483180/,tt0483180,Blessy,Will an unexpected turn of events change Rameshan's life forever and prevent him from witnessing his dream where his son becomes a reputable IAS Officer?,https://m.media-amazon.com/images/M/MV5BNjA3NDkzNmUtMzk5NS00OGZmLWEzNzEtMDU4NWUxZTI2MTYzXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg,Mohanlal,Meera,Vasudevan,Arjun,Lal,Nedumudi,Venu,,,,
Oru Cheru Punchiri,https://www.imdb.com/title/tt0355859/,tt0355859,M.T. Vasudevan Nair,An elderly married couple celebrates life by finding happiness in each and everything.,https://m.media-amazon.com/images/M/MV5BN2I2OTdlN2QtNGE5NS00ZjQwLTg2ODAtZWJlMWE0YzBiNDQwXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg,Oduvil,Unnikrishnan,Nirmala,Sreenivasan,Jayakrishnan,Aliyar,,,,,
Kaazhcha,https://www.imdb.com/title/tt0425162/,tt0425162,Blessy,"Madhavan, a villager, comes across Pavan, a young boy who lost his family in the Gujarat earthquake. He welcomes Pavan into his family and the rapport between them strengthens over time.",https://m.media-amazon.com/images/M/MV5BZDdmZDZlOGUtZTFkMi00MjlmLThmMzktMGQ1NzA2ZWExOWQ5XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg,Mammootty,Yash,Gawli,Padmapriya,Sanusha,,,,,,
Big B,https://www.imdb.com/title/tt0973783/,tt0973783,Amal Neerad,"Four brothers hunt for the killer and the truth behind their loving foster mother who was murdered in cold blood, .",https://m.media-amazon.com/images/M/MV5BNjQ1ZjczNjAtMzg3My00YWNhLWEyMTktNDUyZjAxZjczYWJiXkEyXkFqcGdeQXVyMjM4NjE2MjY@._V1_.jpg,Mammootty,Manoj,K.,Jayan,Bala,Sumit,Naval,,,,
Paleri Manikyam: Oru Pathirakolapathakathinte Katha,https://www.imdb.com/title/tt1573478/,tt1573478,Ranjith,"A woman is found dead in mysterious circumstances. Several discrepancies arise in the findings, which eventually leads to the closure of the case. Years later, Haridas decides to reopen the case.",https://m.media-amazon.com/images/M/MV5BYTY0MWM1ZTItODYxOC00OGM5LWEyZmYtMjg0MGE5NWZmMzNkXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg,Mammootty,Mythili,Shweta,Menon,Gowri,Munjal,,,,,
Nandanam,https://www.imdb.com/title/tt0357946/,tt0357946,Ranjith,"A woman hires a fourth domestic helper despite having three of them already working in her house. The fourth helper, a devotee of Lord Guruvayoorappan has to look after the other three.",https://m.media-amazon.com/images/M/MV5BN2M5YTk2NjQtOWQwOS00MDViLWIyOTEtYjhjZjQ4YmJhOGNhXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg,Navya,Nair,Prithviraj,Sukumaran,Kaviyoor,Ponnamma,Revathi,,,,
Kerala Cafe,https://www.imdb.com/title/tt1539997/,tt1539997,"Shaji Kailas, Shankar Ramakrishnan, Revathi, Uday Ananthan, M. Padmakumar, Lal Jose, Anwar Rasheed, Shyamaprasad, Anjali Menon, B. Unnikrishnan",A series of related and unrelated tales together linking them in subtle ways and discuss different shades of life.,https://m.media-amazon.com/images/M/MV5BMjYwYWFiYzgtMjdiNi00MGU1LTk2ODMtNzk2MmU5MmNhZjhlXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg,Sathyan,Anthikad,Augustine,M.A.,Baby,Nandan,Chalissery,,,,
